Bad Bunny	81.00	0.6460	0.5140
Drax Project	79.00	0.6600	0.6980
Rae Sremmurd	78.00	0.6320	0.7940
ZAYN	77.50	0.6265	0.5740
Jon Pardi	76.00	0.7570	0.6280
Justin Timberlake	75.00	0.8320	0.6690
21 Savage	74.00	0.4440	0.9060
Frank Ocean	74.00	0.3720	0.6295
Miguel	74.00	0.6030	0.6840
Florida Georgia Line	73.00	0.5920	0.3680
MØ	73.00	0.6720	0.6950
One Direction	73.00	0.3290	0.5740
Phil Collins	73.00	0.5650	0.7800
Juice WRLD	72.50	0.6770	0.6690
Dimitri Vegas & Like Mike	72.00	0.7890	0.4070
Kodak Black	72.00	0.6960	0.9380
Mike Posner	72.00	0.8200	0.7680
Missy Elliott	72.00	0.6770	0.8840
Snakehips	72.00	0.7030	0.6570
A Boogie Wit da Hoodie	71.00	0.7510	0.5030
Christina Perri	71.00	0.4890	0.4390
Russ	71.00	0.7100	0.7150
The Fray	71.00	0.7290	0.5920
The Shins	71.00	0.3890	0.6690
Bebe Rexha	70.00	0.6150	0.6560
Britney Spears	70.00	0.8240	0.6290
Chingy	70.00	0.7490	0.8660
Foreign Air	70.00	0.5840	0.5790
Papa Roach	70.00	0.7750	0.6660
Rammstein	70.00	0.9300	0.6080
Randy Houser	70.00	0.8010	0.5260
Rudimental	70.00	0.8580	0.6190
Lil Wayne	69.67	0.6197	0.7287
The Black Eyed Peas	69.00	0.6480	0.4830
Van Halen	69.00	0.9000	0.4720
Andy Williams	68.00	0.5980	0.2400
Bazanji	68.00	0.8810	0.5970
Craig Cardiff	68.00	0.4180	0.5550
Lil Baby	68.00	0.6380	0.8230
Metallica	68.00	0.6870	0.4380
Stefflon Don	67.50	0.7075	0.5395
2Pac	67.00	0.7920	0.8590
Alexis y Fido	67.00	0.9600	0.7550
Bobby V.	67.00	0.7320	0.5680
Eli Young Band	67.00	0.7080	0.3580
Kevin Ortiz	67.00	0.7290	0.7600
Noah Kahan	67.00	0.4640	0.5690
Playboi Carti	67.00	0.5900	0.8940
Quinn XCII	67.00	0.5510	0.7150
Warrant	67.00	0.9460	0.4720
Beastie Boys	66.00	0.9380	0.3240
Bon Jovi	66.00	0.8030	0.2570
Darlingside	66.00	0.2610	0.3750
Martin Jensen	66.00	0.6740	0.6010
Nickelback	66.00	0.8580	0.4550
Regulo Caro	66.00	0.4510	0.7250
Chris Young	65.50	0.6475	0.6205
Kendrick Lamar	65.33	0.5083	0.7573
Andrew Belle	65.00	0.4200	0.5480
BTS	65.00	0.9030	0.6540
Breaking Benjamin	65.00	0.9630	0.3910
Chase Rice	65.00	0.6940	0.6660
Declan J Donovan	65.00	0.4250	0.5970
J. Cole	65.00	0.6860	0.6170
Jay Rock	65.00	0.6200	0.6760
Jennifer Lopez	65.00	0.6250	0.6800
Kid Ink	65.00	0.4960	0.7750
Quality Control	65.00	0.4060	0.8840
S Club 7	65.00	0.9030	0.6790
Tevin Campbell	65.00	0.7110	0.6580
Underworld	65.00	0.9530	0.5760
YG	65.00	0.3360	0.9260
Chris Brown	64.50	0.5915	0.5310
Ambrosia	64.00	0.7230	0.4980
Ashley Tisdale	64.00	0.7590	0.6760
Baka Not Nice	64.00	0.4950	0.9430
Corinne Bailey Rae	64.00	0.2260	0.6050
Denzel Curry	64.00	0.5940	0.4410
Duke Dumont	64.00	0.7400	0.5430
Franc Moody	64.00	0.7500	0.8240
Greyson Chance	64.00	0.4480	0.8210
Joss Favela	64.00	0.4680	0.7410
Ollie MN	64.00	0.0828	0.6460
Ozzy Osbourne	64.00	0.9610	0.3030
The Kinks	64.00	0.6900	0.5120
Travis Scott	64.00	0.4640	0.5070
Trippie Redd	64.00	0.8680	0.7220
Why Don't We	64.00	0.7030	0.8690
Thousand Foot Krutch	63.50	0.7555	0.5320
112	63.00	0.7100	0.6600
Daddy Yankee	63.00	0.7897	0.7245
Future	63.00	0.5110	0.7677
JID	63.00	0.6440	0.5880
Justin Moore	63.00	0.7520	0.5840
Los Prisioneros	63.00	0.6240	0.5850
Pitbull	63.00	0.9065	0.6020
Powerman 5000	63.00	0.8920	0.5740
Slayer	63.00	0.9950	0.2950
Smokepurpp	63.00	0.7150	0.6910
Wisin	63.00	0.9330	0.7970
Drake	62.33	0.4303	0.5937
Blur	62.00	0.5660	0.5870
Bobaflex	62.00	0.8780	0.5950
Dire Straits	62.00	0.6550	0.6670
EXES	62.00	0.4530	0.4670
Elephante	62.00	0.7620	0.6260
Fiona Apple	62.00	0.8040	0.5950
Jerrod Niemann	62.00	0.7010	0.8030
Little Mix	62.00	0.5950	0.4450
MercyMe	62.00	0.5820	0.3350
Oh Wonder	62.00	0.4260	0.5210
Rick James	62.00	0.8230	0.5290
Rita Ora	62.00	0.7380	0.5790
Rob Zombie	62.00	0.9480	0.5180
Sum 41	62.00	0.8680	0.5530
The Weeknd	62.00	0.5390	0.6410
TobyMac	62.00	0.6490	0.7550
Traffic	62.00	0.5010	0.5040
Beyoncé	61.50	0.5280	0.5387
Cartel De Santa	61.00	0.7600	0.7510
Death Cab for Cutie	61.00	0.8330	0.6130
Fugazi	61.00	0.7270	0.6160
H.E.R.	61.00	0.4190	0.6050
Jake Bugg	61.00	0.6770	0.4860
Lemaitre	61.00	0.7850	0.5830
Mitchell Tenpenny	61.00	0.7310	0.3750
Nick Jonas	61.00	0.6560	0.4320
OK Go	61.00	0.7670	0.3890
Rainbow Kitten Surprise	61.00	0.4300	0.6783
Summer Salt	61.00	0.5100	0.5630
Eminem	60.50	0.7540	0.7845
A$AP Rocky	60.00	0.3980	0.5730
Big Sean	60.00	0.5520	0.6640
Blitzen Trapper	60.00	0.5180	0.5710
Cultura Profética	60.00	0.6535	0.7405
Don Omar	60.00	0.8940	0.7610
Empire of the Sun	60.00	0.7680	0.5120
G-Eazy	60.00	0.5037	0.7027
MadeinTYO	60.00	0.4520	0.8460
Ravyn Lenae	60.00	0.5370	0.6650
Scorpions	60.00	0.6310	0.5050
TK Kravitz	60.00	0.5540	0.7300
Tenacious D	60.00	0.9380	0.6230
blink-182	60.00	0.9470	0.4650
Annie Lennox	59.00	0.5830	0.5210
Avant	59.00	0.4520	0.7085
Bon Iver	59.00	0.6130	0.6690
Celso Piña	59.00	0.8160	0.7110
Chubby Checker	59.00	0.6380	0.5330
Damien Rice	59.00	0.2000	0.3420
Fergie	59.00	0.5820	0.7280
Flitz&Suppe	59.00	0.3560	0.6730
Harry Nilsson	59.00	0.3490	0.4380
Meek Mill	59.00	0.7990	0.4970
Ne-Yo	59.00	0.7530	0.7110
Ryan Adams	59.00	0.4370	0.5700
SahBabii	59.00	0.5410	0.7290
Ten Tonnes	59.00	0.6950	0.7110
The Doobie Brothers	58.67	0.4090	0.5880
Better Oblivion Community Center	58.50	0.4775	0.5380
Kelly Clarkson	58.50	0.8090	0.6315
A Tribe Called Quest	58.00	0.4190	0.8870
BADBADNOTGOOD	58.00	0.5330	0.4950
Brent Faiyaz	58.00	0.3960	0.7640
Chyno Miranda	58.00	0.9030	0.7380
El Alfa	58.00	0.7190	0.7200
High School Musical Cast	58.00	0.8430	0.6320
Ivy Adara	58.00	0.6520	0.7550
Joss Stone	58.00	0.7670	0.6900
MisterWives	58.00	0.8260	0.6570
Moneybagg Yo	58.00	0.5830	0.8000
Pearl Jam	58.00	0.9610	0.3730
Prezioso Feat. Marvin	58.00	0.8080	0.8350
The Band CAMINO	58.00	0.6460	0.5460
The Champs	58.00	0.7420	0.6710
Timeflies	58.00	0.6520	0.9530
Tove Lo	58.00	0.7060	0.6250
Mariah Carey	57.50	0.6100	0.7005
Alabama Shakes	57.00	0.4120	0.5480
Broods	57.00	0.5530	0.6510
COIN	57.00	0.3230	0.5500
Ciara	57.00	0.6290	0.6970
Crush	57.00	0.3490	0.5510
Five Finger Death Punch	57.00	0.9830	0.4840
Janelle Monáe	57.00	0.4880	0.4500
Lalo Rodriguez	57.00	0.6020	0.6430
Smallpools	57.00	0.8585	0.5705
Steve Miller Band	57.00	0.4325	0.5270
Suicidal Tendencies	57.00	0.8040	0.3580
The Marshall Tucker Band	57.00	0.8270	0.5060
Vic Damone	57.00	0.2880	0.4550
Young the Giant	57.00	0.8335	0.6240
TV Girl	56.50	0.8590	0.5405
Anna Of The North	56.00	0.7950	0.6730
Fitz and The Tantrums	56.00	0.9680	0.5450
Låpsley	56.00	0.4030	0.6890
Marvin Gaye	56.00	0.4150	0.6770
Mary Gauthier	56.00	0.2560	0.5750
Rage Against The Machine	56.00	0.9660	0.5135
The Kills	56.00	0.6860	0.6370
The Psychedelic Furs	56.00	0.9160	0.3860
Theory of a Deadman	56.00	0.8280	0.5080
Waka Flocka Flame	56.00	0.7697	0.6473
System Of A Down	55.50	0.9720	0.4180
A.R. Rahman	55.00	0.6500	0.7210
Chastity Belt	55.00	0.5050	0.5270
Donell Jones	55.00	0.4960	0.7540
Easy Life	55.00	0.5870	0.7810
Gillian Welch	55.00	0.1180	0.7000
Jai Paul	55.00	0.7400	0.7160
Josh A	55.00	0.5590	0.6350
Josh Garrels	55.00	0.5330	0.5570
Justin Stone	55.00	0.4560	0.7450
LeToya Luckett	55.00	0.4290	0.4900
Leeland	55.00	0.8050	0.4260
MARINA	55.00	0.8120	0.6140
Manu Chao	55.00	0.7530	0.6440
Mora	55.00	0.4520	0.7620
Taylor Swift	55.00	0.5320	0.4670
The Modern Lovers	55.00	0.7290	0.6170
Tori Kelly	55.00	0.8330	0.6180
Yo Gotti	55.00	0.6150	0.8850
Young Money	55.00	0.7320	0.8160
Zac Brown Band	55.00	0.3980	0.5280
Avicii	54.00	0.8210	0.8000
Disturbed	54.00	0.9870	0.3880
Jacquees	54.00	0.4440	0.6890
Jamby el Favo	54.00	0.4320	0.7200
Lewis Del Mar	54.00	0.7530	0.5990
Linkin Park	54.00	0.8020	0.6255
Meredith Andrews	54.00	0.5010	0.2250
Nao	54.00	0.5145	0.6175
Nightmares On Wax	54.00	0.3390	0.5030
Olivia Lane	54.00	0.7390	0.5190
Shoreline Mafia	54.00	0.4170	0.7810
Terence Blanchard	54.00	0.2390	0.3820
The Palms	54.00	0.5730	0.6660
Weezer	54.00	0.8760	0.5590
Wet	54.00	0.4550	0.5810
digitalluc	54.00	0.6720	0.6070
Red Hot Chili Peppers	53.50	0.6925	0.4990
Alice Cooper	53.00	0.4130	0.6180
Aretha Franklin	53.00	0.2730	0.4630
Armen Miran	53.00	0.6300	0.8010
BROCKHAMPTON	53.00	0.6310	0.6390
Chon	53.00	0.6960	0.5920
Chris Webby	53.00	0.7600	0.4400
Coal Chamber	53.00	0.9140	0.4970
Colt Ford	53.00	0.7770	0.6220
Common	53.00	0.7750	0.8420
Cracker	53.00	0.6760	0.4370
Curtis Mayfield	53.00	0.8030	0.5230
Kellie Pickler	53.00	0.8620	0.6490
Kevin Garrett	53.00	0.4770	0.6400
Merkules	53.00	0.8510	0.4660
Morrissey	53.00	0.6760	0.4630
RKCB	53.00	0.5890	0.5050
Sharon Van Etten	53.00	0.5690	0.4180
SiR	53.00	0.6210	0.5980
Sturgill Simpson	53.00	0.6320	0.4385
T.I.	53.00	0.5320	0.6730
Radiohead	52.50	0.7195	0.4940
Talking Heads	52.50	0.8485	0.6210
11:11	52.00	0.3270	0.7470
Black Label Society	52.00	0.8390	0.2830
Brian Johnson	52.00	0.6680	0.3920
GoldLink	52.00	0.8500	0.5210
Greta Van Fleet	52.00	0.4920	0.6970
Jake Owen	52.00	0.7490	0.6540
Jon Hopkins	52.00	0.7150	0.7980
Natti Natasha	52.00	0.7710	0.5100
Nelly	52.00	0.5840	0.8440
Novo Amor	52.00	0.2630	0.3980
OMB Peezy	52.00	0.5950	0.5100
Shawn Mendes	52.00	0.6650	0.7370
Thomas Rhett	52.00	0.5950	0.6850
Vindata	52.00	0.6440	0.6170
Wild Nothing	52.00	0.7770	0.4770
Bear's Den	51.00	0.4060	0.4990
Beck	51.00	0.5980	0.6200
Brandy	51.00	0.6820	0.5680
Bruce Springsteen	51.00	0.9380	0.2830
Curren$y	51.00	0.5840	0.6410
Elmore James	51.00	0.6110	0.2940
