original_name\tnormalized_name\toccurrence_count\tcase_variations\texample_entries
kimbo children's music	kimbo children's music	7	Kimbo Children's Music	Kimbo Children's Music
beyoncé	beyoncé	4	Beyoncé	Beyoncé
daddy yankee	daddy yankee	4	Daddy Yankee	Daddy Yankee
future	future	4	Future	Future
hillsong worship	hillsong worship	4	Hillsong Worship	Hillsong Worship
howard shore	howard shore	4	Howard Shore	Howard Shore
slightly stoopid	slightly stoopid	4	Slightly Stoopid	Slightly Stoopid
children songs company	children songs company	3	Children Songs Company	Children Songs Company
dan auerbach	dan auerbach	3	Dan Auerbach	Dan Auerbach
drake	drake	3	Drake	Drake
g-eazy	g-eazy	3	G-Eazy	G-Eazy
giacomo puccini	giacomo puccini	3	Giacomo Puccini	Giacomo Puccini
gioachino rossini	gioachino rossini	3	Gioachino Rossini	Gioachino Rossini
jóhann jóhannsson	jóhann jóhannsson	3	Jóhann Jóhannsson	Jóhann Jóhannsson
kendrick lamar	kendrick lamar	3	Kendrick Lamar	Kendrick Lamar
lil wayne	lil wayne	3	Lil Wayne	Lil Wayne
nobuo uematsu	nobuo uematsu	3	Nobuo Uematsu	Nobuo Uematsu
nofx	nofx	3	NOFX	NOFX
rainbow kitten surprise	rainbow kitten surprise	3	Rainbow Kitten Surprise	Rainbow Kitten Surprise
ramin djawadi	ramin djawadi	3	Ramin Djawadi	Ramin Djawadi
the doobie brothers	the doobie brothers	3	The Doobie Brothers	The Doobie Brothers
waka flocka flame	waka flocka flame	3	Waka Flocka Flame	Waka Flocka Flame
yuki hayashi	yuki hayashi	3	Yuki Hayashi	Yuki Hayashi
alton ellis	alton ellis	2	Alton Ellis	Alton Ellis
amarion	amarion	2	Amarion	Amarion
avant	avant	2	Avant	Avant
ayumi hamasaki	ayumi hamasaki	2	Ayumi Hamasaki	Ayumi Hamasaki
beach house	beach house	2	Beach House	Beach House
better oblivion community center	better oblivion community center	2	Better Oblivion Community Center	Better Oblivion Community Center
between the buried and me	between the buried and me	2	Between The Buried And Me	Between The Buried And Me
black tiger sex machine	black tiger sex machine	2	Black Tiger Sex Machine	Black Tiger Sex Machine
bonobo	bonobo	2	Bonobo	Bonobo
brad paisley	brad paisley	2	Brad Paisley	Brad Paisley
brett eldredge	brett eldredge	2	Brett Eldredge	Brett Eldredge
bright eyes	bright eyes	2	Bright Eyes	Bright Eyes
calvin harris	calvin harris	2	Calvin Harris	Calvin Harris
can't swim	can't swim	2	Can't Swim	Can't Swim
chorus	chorus	2	Chorus	Chorus
chris brown	chris brown	2	Chris Brown	Chris Brown
chris young	chris young	2	Chris Young	Chris Young
christophe rousset	christophe rousset	2	Christophe Rousset	Christophe Rousset
closer	closer	2	Closer	Closer
cultura profética	cultura profética	2	Cultura Profética	Cultura Profética
david august	david august	2	David August	David August
death cab for cutie	death cab for cutie	2	Death Cab for Cutie	Death Cab for Cutie
debbie davis	debbie davis	2	Debbie Davis	Debbie Davis
don omar	don omar	2	Don Omar	Don Omar
dorothée	dorothée	2	Dorothée	Dorothée
dragonforce	dragonforce	2	DragonForce	DragonForce
drugs	drugs	2	Drugs	Drugs
dyland & lenny	dyland & lenny	2	Dyland & Lenny	Dyland & Lenny
eminem	eminem	2	Eminem	Eminem
erykah badu	erykah badu	2	Erykah Badu	Erykah Badu
fear	fear	2	Fear	Fear
flor	flor	2	flor	flor
florence + the machine	florence + the machine	2	Florence + The Machine	Florence + The Machine
frank ocean	frank ocean	2	Frank Ocean	Frank Ocean
freddie mcgregor	freddie mcgregor	2	Freddie McGregor	Freddie McGregor
hillsong united	hillsong united	2	Hillsong UNITED	Hillsong UNITED
jill scott	jill scott	2	Jill Scott	Jill Scott
john powell	john powell	2	John Powell	John Powell
juice wrld	juice wrld	2	Juice WRLD	Juice WRLD
jules massenet	jules massenet	2	Jules Massenet	Jules Massenet
kadhja bonet	kadhja bonet	2	Kadhja Bonet	Kadhja Bonet
kari jobe	kari jobe	2	Kari Jobe	Kari Jobe
kelly clarkson	kelly clarkson	2	Kelly Clarkson	Kelly Clarkson
kevin gates	kevin gates	2	Kevin Gates	Kevin Gates
lcd soundsystem	lcd soundsystem	2	LCD Soundsystem	LCD Soundsystem
linkin park	linkin park	2	Linkin Park	Linkin Park
mariah carey	mariah carey	2	Mariah Carey	Mariah Carey
meek mill	meek mill	2	Meek Mill	Meek Mill
moby	moby	2	Moby	Moby
nao	nao	2	Nao	Nao
nick di paolo	nick di paolo	2	Nick Di Paolo	Nick Di Paolo
nick drake	nick drake	2	Nick Drake	Nick Drake
of monsters and men	of monsters and men	2	Of Monsters and Men	Of Monsters and Men
philip glass	philip glass	2	Philip Glass	Philip Glass
pitbull	pitbull	2	Pitbull	Pitbull
queens of the stone age	queens of the stone age	2	Queens of the Stone Age	Queens of the Stone Age
radiohead	radiohead	2	Radiohead	Radiohead
rage against the machine	rage against the machine	2	Rage Against The Machine	Rage Against The Machine
randy newman	randy newman	2	Randy Newman	Randy Newman
real life	real life	2	Real Life	Real Life
red hot chili peppers	red hot chili peppers	2	Red Hot Chili Peppers	Red Hot Chili Peppers
reykon	reykon	2	Reykon	Reykon
richard pryor	richard pryor	2	Richard Pryor	Richard Pryor
ryuichi sakamoto	ryuichi sakamoto	2	Ryuichi Sakamoto	Ryuichi Sakamoto
sade	sade	2	Sade	Sade
seven lions	seven lions	2	Seven Lions	Seven Lions
smallpools	smallpools	2	Smallpools	Smallpools
stefflon don	stefflon don	2	Stefflon Don	Stefflon Don
steve miller band	steve miller band	2	Steve Miller Band	Steve Miller Band
steven price	steven price	2	Steven Price	Steven Price
sturgill simpson	sturgill simpson	2	Sturgill Simpson	Sturgill Simpson
sublime with rome	sublime with rome	2	Sublime With Rome	Sublime With Rome
suburban legends	suburban legends	2	Suburban Legends	Suburban Legends
system of a down	system of a down	2	System Of A Down	System Of A Down
talking heads	talking heads	2	Talking Heads	Talking Heads
ten thousand words	ten thousand words	2	Ten Thousand Words	Ten Thousand Words
the aces	the aces	2	The Aces	The Aces
the avett brothers	the avett brothers	2	The Avett Brothers	The Avett Brothers
the beautiful girls	the beautiful girls	2	The Beautiful Girls	The Beautiful Girls
the coasters	the coasters	2	The Coasters	The Coasters
thousand foot krutch	thousand foot krutch	2	Thousand Foot Krutch	Thousand Foot Krutch
tv girl	tv girl	2	TV Girl	TV Girl
wings	wings	2	Wings	Wings
wisin & yandel	wisin & yandel	2	Wisin & Yandel	Wisin & Yandel
young the giant	young the giant	2	Young the Giant	Young the Giant
zayn	zayn	2	ZAYN	ZAYN
