Kimbo Children's Music	kimbochildrensmusic	7
Beyoncé	beyonc	4
Daddy Yankee	daddyyankee	4
Future	future	4
Hillsong Worship	hillsongworship	4
Howard Shore	howardshore	4
Slightly Stoopid	slightlystoopid	4
Children Songs Company	childrensongscompany	3
Dan Auerbach	danauerbach	3
Drake	drake	3
G-Eazy	geazy	3
Giacomo Puccini	giacomopuccini	3
Gioachino Rossini	gioachinorossini	3
Jóhann Jóhannsson	jhannjhannsson	3
Kendrick Lamar	kendricklamar	3
Lil Wayne	lilwayne	3
NOFX	nofx	3
Nobuo Uematsu	nobuouematsu	3
Rainbow Kitten Surprise	rainbowkittensurprise	3
Ramin Djawadi	ramindjawadi	3
The Doobie Brothers	thedoobiebrothers	3
Waka Flocka Flame	wakaflockaflame	3
Yuki Hayashi	yukihayashi	3
Alton Ellis	altonellis	2
Amarion	amarion	2
Avant	avant	2
Ayumi Hamasaki	ayumihamasaki	2
Beach House	beachhouse	2
Better Oblivion Community Center	betteroblivioncommunitycenter	2
Between The Buried And Me	betweentheburiedandme	2
Black Tiger Sex Machine	blacktigersexmachine	2
Bonobo	bonobo	2
Brad Paisley	bradpaisley	2
Brett Eldredge	bretteldredge	2
Bright Eyes	brighteyes	2
Calvin Harris	calvinharris	2
Can't Swim	cantswim	2
Chorus	chorus	2
Chris Brown	chrisbrown	2
Chris Young	chrisyoung	2
Christophe Rousset	christopherousset	2
Cultura Profética	culturaproftica	2
David August	davidaugust	2
Death Cab for Cutie	deathcabforcutie	2
Debbie Davis	debbiedavis	2
Don Omar	donomar	2
Dorothée	dorothe	2
DragonForce	dragonforce	2
Dyland & Lenny	dylandlenny	2
Eminem	eminem	2
Erykah Badu	erykahbadu	2
Florence + The Machine	florencethemachine	2
Frank Ocean	frankocean	2
Freddie McGregor	freddiemcgregor	2
Hillsong UNITED	hillsongunited	2
Jill Scott	jillscott	2
John Powell	johnpowell	2
Juice WRLD	juicewrld	2
Jules Massenet	julesmassenet	2
Kadhja Bonet	kadhjabonet	2
Kari Jobe	karijobe	2
Kelly Clarkson	kellyclarkson	2
Kevin Gates	kevingates	2
LCD Soundsystem	lcdsoundsystem	2
Linkin Park	linkinpark	2
Mariah Carey	mariahcarey	2
Meek Mill	meekmill	2
Moby	moby	2
Nao	nao	2
Nick Di Paolo	nickdipaolo	2
Nick Drake	nickdrake	2
Of Monsters and Men	ofmonstersandmen	2
Philip Glass	philipglass	2
Pitbull	pitbull	2
Queens of the Stone Age	queensofthestoneage	2
Radiohead	radiohead	2
Rage Against The Machine	rageagainstthemachine	2
Randy Newman	randynewman	2
Red Hot Chili Peppers	redhotchilipeppers	2
Reykon	reykon	2
Richard Pryor	richardpryor	2
Ryuichi Sakamoto	ryuichisakamoto	2
Sade	sade	2
Seven Lions	sevenlions	2
Smallpools	smallpools	2
Stefflon Don	stefflondon	2
Steve Miller Band	stevemillerband	2
Steven Price	stevenprice	2
Sturgill Simpson	sturgillsimpson	2
Sublime With Rome	sublimewithrome	2
Suburban Legends	suburbanlegends	2
System Of A Down	systemofadown	2
TV Girl	tvgirl	2
Talking Heads	talkingheads	2
The Aces	theaces	2
The Avett Brothers	theavettbrothers	2
The Beautiful Girls	thebeautifulgirls	2
The Coasters	thecoasters	2
Thousand Foot Krutch	thousandfootkrutch	2
Wisin & Yandel	wisinyandel	2
Young the Giant	youngthegiant	2
ZAYN	zayn	2
flor	flor	2
original_artist	normalized_artist	occurrences
