artist	genre	popularity	c4	c5
112	R&B	63	0.71	0.66
11:11	Soul	52	0.327	0.747
21 Savage	Hip-Hop	74	0.444	0.906
2Pac	Pop	67	0.792	0.859
36	World	48	0.148	0.172
A Boogie Wit da Hoodie	Rap	71	0.751	0.503
A Tribe Called Quest	Rap	58	0.419	0.887
A$AP Rocky	Hip-Hop	60	0.398	0.573
A.R. Rahman	Hip-Hop	55	0.65	0.721
Adam Calhoun	Country	45	0.65	0.857
Aer	Reggae	41	0.636	0.811
Alabama Shakes	Indie	57	0.412	0.548
Ale Mendoza	Reggaeton	46	0.789	0.807
Alexi Murdoch	Folk	50	0.127	0.566
Alexis y Fido	Reggaeton	67	0.96	0.755
Alice Cooper	Blues	53	0.413	0.618
Alton Ellis	Reggae	43	0.293	0.773
Alton Ellis	Ska	42	0.524	0.726
Ambrosia	Folk	64	0.723	0.498
Anderson East	Folk	49	0.745	0.567
Andrew Belle	Rock	65	0.42	0.548
Andy Kong	Indie	49	0.421	0.543
Andy Williams	Pop	68	0.598	0.24
Angus & Julia Stone	Folk	46	0.0682	0.601
Anna Of The North	Soul	56	0.795	0.673
Annie Lennox	Folk	59	0.583	0.521
Anthem Lights	Alternative	47	0.358	0.305
Aretha Franklin	Jazz	53	0.273	0.463
Armand Amar	Soundtrack	41	0.128	0.213
Armen Miran	Electronic	53	0.63	0.801
Ashley Tisdale	Pop	64	0.759	0.676
Atmosphere	Alternative	43	0.578	0.695
Avant	R&B	64	0.391	0.75
Avant	Soul	54	0.513	0.667
Avicii	Dance	54	0.821	0.8
BADBADNOTGOOD	Jazz	58	0.533	0.495
BROCKHAMPTON	Rap	53	0.631	0.639
BTS	Pop	65	0.903	0.654
Bad Bunny	Reggaeton	81	0.646	0.514
Badfinger	Blues	50	0.687	0.397
Baka Not Nice	Hip-Hop	64	0.495	0.943
Bazanji	Pop	68	0.881	0.597
Beach House	Folk	51	0.476	0.612
Beach House	Indie	45	0.475	0.145
Bear McCreary	Soundtrack	41	0.1	0.122
Bear's Den	Indie	51	0.406	0.499
Bearings	Children’s Music	44	0.933	0.476
Beastie Boys	Alternative	66	0.938	0.324
Beats Antique	World	47	0.755	0.601
Bebe Rexha	Dance	70	0.615	0.656
Beck	Rock	51	0.598	0.62
Ben Rector	Indie	50	0.794	0.612
Better Oblivion Community Center	Indie	59	0.72	0.564
Better Oblivion Community Center	Rock	58	0.235	0.512
Between The Buried And Me	Jazz	48	0.924	0.296
Beyoncé	Dance	60	0.637	0.432
Beyoncé	Dance	67	0.625	0.512
Beyoncé	Pop	58	0.389	0.623
Beyoncé	Pop	61	0.461	0.588
Big Sean	R&B	60	0.552	0.664
Black Label Society	Children’s Music	52	0.839	0.283
Black Veil Brides	Alternative	47	0.992	0.37
Blackstreet	R&B	50	0.541	0.789
Blitzen Trapper	Indie	60	0.518	0.571
Blue October	Children’s Music	47	0.653	0.566
Blur	Dance	62	0.566	0.587
Bob Seger	Rock	49	0.905	0.614
Bobaflex	Indie	62	0.878	0.595
Bobby Bare	Country	47	0.319	0.519
Bobby V.	R&B	67	0.732	0.568
Bon Iver	Folk	59	0.613	0.669
Bon Jovi	Rock	66	0.803	0.257
Bonnie Raitt	Folk	40	0.731	0.726
Boyz II Men	R&B	42	0.415	0.697
Brad Paisley	Country	47	0.876	0.431
Brandy	Soul	51	0.682	0.568
Brantley Gilbert	Country	44	0.871	0.396
Breaking Benjamin	Alternative	65	0.963	0.391
Brent Faiyaz	Children’s Music	58	0.396	0.764
Brett Eldredge	Country	41	0.724	0.484
Brett Eldredge	Country	60	0.693	0.537
Brett Young	Country	50	0.7	0.504
Brian Johnson	World	52	0.668	0.392
Bright Eyes	Folk	49	0.46	0.495
Bright Eyes	Indie	46	0.592	0.33
Britney Spears	Pop	70	0.824	0.629
Broods	Soul	57	0.553	0.651
Bruce Springsteen	Rock	51	0.938	0.283
Bryant Myers	Reggaeton	46	0.555	0.752
COIN	Rock	57	0.323	0.55
Cafe Jazz Deluxe	Jazz	42	0.0938	0.733
Calvin Harris	Dance	81	0.928	0.63
Can't Swim	Alternative	43	0.851	0.382
Can't Swim	Children’s Music	46	0.904	0.423
Carrie Underwood	Country	48	0.78	0.484
Cartel De Santa	Hip-Hop	61	0.76	0.751
Casting Crowns	Alternative	43	0.702	0.632
Cauty	Reggaeton	46	0.539	0.67
Celso Piña	Children’s Music	59	0.816	0.711
Chase Rice	Pop	65	0.694	0.666
Chastity Belt	Indie	55	0.505	0.527
Chet Baker	Jazz	49	0.0199	0.425
Chingy	Dance	70	0.749	0.866
Chon	Rock	53	0.696	0.592
Chris Brown	Dance	61	0.487	0.403
Chris Brown	Dance	68	0.696	0.659
Chris Webby	Indie	53	0.76	0.44
Chris Young	Country	71	0.621	0.584
Chris Young	Rock	60	0.674	0.657
Christina Perri	Dance	71	0.489	0.439
Chubby Checker	Rock	59	0.638	0.533
Chuck Wicks	Country	50	0.396	0.512
Chyno Miranda	Reggaeton	58	0.903	0.738
Ciara	Hip-Hop	57	0.629	0.697
Coal Chamber	Alternative	53	0.914	0.497
Colde	R&B	45	0.428	0.468
Colt Ford	Rap	53	0.777	0.622
Common	Rap	53	0.775	0.842
Corinne Bailey Rae	Soul	64	0.226	0.605
Cracker	Alternative	53	0.676	0.437
Craig Cardiff	Indie	68	0.418	0.555
Crossfade	Alternative	42	0.877	0.434
Crowder	Children’s Music	47	0.689	0.343
Crush	Indie	57	0.349	0.551
Cultura Profética	Children’s Music	65	0.746	0.659
Cultura Profética	Reggae	55	0.561	0.822
Curren$y	Alternative	51	0.584	0.641
Curtis Mayfield	Soul	53	0.803	0.523
Cécile McLorin Salvant	Jazz	47	0.165	0.653
DROELOE	Soul	41	0.808	0.756
Daddy Yankee	Hip-Hop	69	0.993	0.746
Daddy Yankee	Hip-Hop	98	0.86	0.737
Daddy Yankee	Reggaeton	41	0.744	0.838
Daddy Yankee	Reggaeton	44	0.562	0.577
Damien Rice	Pop	59	0.2	0.342
Dan Auerbach	Blues	44	0.705	0.445
Dan Auerbach	Blues	48	0.893	0.429
Dan Auerbach	Indie	56	0.782	0.615
Darlingside	Pop	66	0.261	0.375
David August	Electronic	45	0.329	0.753
David August	Electronic	54	0.598	0.556
Death Cab for Cutie	Indie	60	0.96	0.518
Death Cab for Cutie	Rock	62	0.706	0.708
Declan J Donovan	Folk	65	0.425	0.597
Denzel Curry	Hip-Hop	64	0.594	0.441
Dharmasoul	Soul	40	0.405	0.635
Dimitri Vegas & Like Mike	Dance	72	0.789	0.407
Dinah Washington	Jazz	41	0.271	0.595
Dire Straits	Rock	62	0.655	0.667
Dirty Heads	Reggae	45	0.732	0.584
Disturbed	Children’s Music	54	0.987	0.388
Don Omar	Hip-Hop	67	0.852	0.825
Don Omar	Reggaeton	53	0.936	0.697
Donell Jones	Soul	55	0.496	0.754
Dounia	R&B	42	0.478	0.797
Drake	Pop	63	0.395	0.478
Drake	Rap	61	0.455	0.592
Drake	Rap	63	0.441	0.711
Drax Project	Pop	79	0.66	0.698
Duke Dumont	Dance	64	0.74	0.543
Dylan Scott	Country	46	0.742	0.613
EPMD	Hip-Hop	50	0.814	0.882
EXES	Soul	62	0.453	0.467
Earl Sweatshirt	Alternative	47	0.801	0.502
Easy Life	Alternative	55	0.587	0.781
El Alfa	Reggaeton	58	0.719	0.72
Electric Guest	Children’s Music	46	0.837	0.764
Elephante	Indie	62	0.762	0.626
Elevation Worship	World	47	0.796	0.608
Eli Young Band	Rock	67	0.708	0.358
Elmore James	Blues	51	0.611	0.294
Emily King	Soul	41	0.393	0.572
Eminem	Hip-Hop	63	0.755	0.671
Eminem	Rap	58	0.753	0.898
Emotional Oranges	Alternative	48	0.539	0.751
Empire of the Sun	Children’s Music	60	0.768	0.512
Ennio Morricone	Soundtrack	41	0.323	0.195
Eric Bellinger	R&B	46	0.571	0.558
Erykah Badu	Children’s Music	61	0.472	0.753
Esperanza Spalding	Soul	50	0.375	0.428
Etta James	Soul	47	0.301	0.458
Fergie	Dance	59	0.582	0.728
Fink	Folk	47	0.495	0.395
Fiona Apple	Indie	62	0.804	0.595
Fitz and The Tantrums	Indie	56	0.968	0.545
Five Finger Death Punch	Children’s Music	57	0.983	0.484
Flitz&Suppe	Jazz	59	0.356	0.673
Florence + The Machine	Alternative	45	0.516	0.597
Florence + The Machine	Alternative	56	0.577	0.676
Florida Georgia Line	Pop	73	0.592	0.368
Foreign Air	Children’s Music	70	0.584	0.579
Foxygen	Folk	47	0.676	0.599
Franc Moody	Dance	64	0.75	0.824
Francis Lai	Soundtrack	44	0.343	0.447
Francis and the Lights	Alternative	50	0.301	0.676
Frank Ocean	Hip-Hop	75	0.35	0.716
Frank Ocean	Pop	73	0.394	0.543
Fugazi	Rock	61	0.727	0.616
Future	Hip-Hop	51	0.546	0.75
Future	Hip-Hop	58	0.412	0.838
Future	Hip-Hop	85	0.542	0.656
Future	Pop	58	0.544	0.827
G-Eazy	Hip-Hop	55	0.552	0.517
G-Eazy	Hip-Hop	63	0.437	0.895
G-Eazy	Rap	62	0.522	0.696
GNAR	Hip-Hop	51	0.715	0.836
Giacomo Puccini	Classical	46	0.175	0.226
Gillian Welch	Rock	55	0.118	0.7
GoldLink	Rap	52	0.85	0.521
Greta Van Fleet	Blues	52	0.492	0.697
Greyson Chance	Dance	64	0.448	0.821
Grizfolk	Alternative	46	0.618	0.544
H.E.R.	R&B	61	0.419	0.605
HUNNY	Children’s Music	51	0.922	0.505
Harry Nilsson	Rock	59	0.349	0.438
High School Musical Cast	Pop	58	0.843	0.632
Hillsong UNITED	Children’s Music	51	0.265	0.243
Hillsong Worship	World	40	0.558	0.204
HoodRich Pablo Juan	Hip-Hop	47	0.685	0.839
Howard Shore	Classical	40	0.217	0.0652
Huey Lewis & The News	Folk	49	0.801	0.669
Ilegales	Reggaeton	46	0.963	0.885
Iration	Reggae	49	0.765	0.719
Ivy Adara	Indie	58	0.652	0.755
J. Cole	Pop	65	0.686	0.617
JEN	Reggaeton	41	0.71	0.602
JID	Hip-Hop	63	0.644	0.588
Jacquees	Rap	54	0.444	0.689
Jade Bird	Folk	48	0.582	0.425
Jai Paul	Alternative	55	0.74	0.716
Jake Bugg	Rock	61	0.677	0.486
Jake Owen	Country	52	0.749	0.654
Jamby el Favo	Reggaeton	54	0.432	0.72
Janelle Monáe	Dance	57	0.488	0.45
Jason Aldean	Country	42	0.701	0.619
Jason Isbell and the 400 Unit	Country	50	0.575	0.555
Jason Upton	World	45	0.259	0.335
Jay Rock	Rap	65	0.62	0.676
Jeebanoff	Indie	50	0.524	0.907
Jennifer Lopez	R&B	65	0.625	0.68
Jerrod Niemann	Country	62	0.701	0.803
Jesus Culture	World	50	0.814	0.493
Jill Scott	Soul	49	0.41	0.725
Joe Rogan	Comedy	44	0.935	0.643
Johnny Pacheco	Jazz	46	0.713	0.6
Jon Bryant	Folk	44	0.185	0.479
Jon Hopkins	World	52	0.715	0.798
Jon Pardi	Rock	76	0.757	0.628
Josh A	Rap	55	0.559	0.635
Josh Garrels	Folk	55	0.533	0.557
Joss Favela	Pop	64	0.468	0.741
Joss Stone	Soul	58	0.767	0.69
João Gilberto	Jazz	48	0.377	0.537
Juice WRLD	Rap	72	0.682	0.707
Juice WRLD	Rap	73	0.672	0.631
Junip	Indie	44	0.481	0.674
Justice	Electronic	43	0.48	0.431
Justin Moore	Country	63	0.752	0.584
Justin Stone	Hip-Hop	55	0.456	0.745
Justin Timberlake	Pop	75	0.832	0.669
Kari Jobe	Children’s Music	60	0.319	0.451
Keaton Henson	Folk	48	0.104	0.316
Kellie Pickler	Country	53	0.862	0.649
Kelly Clarkson	R&B	50	0.679	0.701
Kelly Clarkson	Rock	67	0.939	0.562
Kelly Price	R&B	47	0.486	0.544
Kendrick Lamar	Hip-Hop	58	0.558	0.665
Kendrick Lamar	Hip-Hop	74	0.478	0.855
Kendrick Lamar	Rap	64	0.489	0.752
Kevin Garrett	Folk	53	0.477	0.64
Kevin Gates	Hip-Hop	48	0.525	0.779
Kevin Gates	Hip-Hop	53	0.606	0.749
Kevin Ortiz	Pop	67	0.729	0.76
Kid Ink	Rap	65	0.496	0.775
Killswitch Engage	Children’s Music	48	0.985	0.26
King Krule	Indie	46	0.211	0.402
Kings of Convenience	Folk	47	0.366	0.755
Kodak Black	Rap	72	0.696	0.938
Korn	Alternative	51	0.785	0.576
