Blues	49	34.90	0.5836	0.5416
Rock	49	60.69	0.6798	0.5297
Alternative	48	50.17	0.7437	0.5548
Comedy	45	20.36	0.6947	0.5472
Hip-Hop	44	60.52	0.6266	0.7153
Reggae	43	33.81	0.6211	0.6931
Soul	42	47.52	0.5213	0.6268
Children’s Music	41	54.98	0.6940	0.5210
Dance	40	59.02	0.6930	0.6360
Indie	40	52.75	0.6059	0.5452
Reggaeton	39	39.49	0.7425	0.7068
World	39	34.92	0.5335	0.4742
Electronic	38	36.61	0.7086	0.5707
Folk	38	50.50	0.4652	0.5568
Jazz	38	42.45	0.4827	0.5604
Rap	37	62.81	0.6145	0.6945
Country	36	47.83	0.6557	0.5679
Movie	35	14.34	0.3729	0.4657
Pop	34	66.97	0.6293	0.6251
R&B	31	53.16	0.5810	0.6237
Soundtrack	31	30.10	0.2768	0.2910
Ska	27	30.89	0.8461	0.5201
Anime	26	21.85	0.6327	0.4649
Classical	21	29.48	0.2606	0.2711
Opera	20	12.65	0.1573	0.3204
Children's Music	18	2.94	0.3022	0.6022
A Capella	1	5.00	0.1570	0.2090
genre	count	avg_popularity	avg_energy	avg_danceability
