Pop	66.97	0.6293	0.6251	124.84	34
Rap	62.81	0.6145	0.6945	122.32	37
Rock	60.69	0.6798	0.5297	118.52	49
Hip-Hop	60.52	0.6266	0.7153	118.59	44
Dance	59.02	0.6930	0.6360	116.01	40
Children’s Music	54.98	0.6940	0.5210	120.83	41
R&B	53.16	0.5810	0.6237	113.51	31
Indie	52.75	0.6059	0.5452	115.66	40
Folk	50.50	0.4652	0.5568	117.95	38
Alternative	50.17	0.7437	0.5548	122.70	48
Country	47.83	0.6557	0.5679	123.64	36
Soul	47.52	0.5213	0.6268	113.39	42
Jazz	42.45	0.4827	0.5604	107.03	38
Reggaeton	39.49	0.7425	0.7068	124.78	39
Electronic	36.61	0.7086	0.5707	126.54	38
World	34.92	0.5335	0.4742	122.30	39
Blues	34.90	0.5836	0.5416	121.46	49
Reggae	33.81	0.6211	0.6931	109.46	43
Ska	30.89	0.8461	0.5201	136.71	27
Soundtrack	30.10	0.2768	0.2910	106.19	31
Classical	29.48	0.2606	0.2711	108.70	21
Anime	21.85	0.6327	0.4649	130.99	26
Comedy	20.36	0.6947	0.5472	97.97	45
Movie	14.34	0.3729	0.4657	110.25	35
Opera	12.65	0.1573	0.3204	100.81	20
A Capella	5.00	0.1570	0.2090	74.85	1
Children's Music	2.94	0.3022	0.6022	119.66	18
genre	avg_popularity	avg_energy	avg_danceability	avg_tempo	count
