Powerman 5000                 	     1	   63.00	   63.00	   63.00
Sum 41                        	     1	   62.00	   62.00	   62.00
Beyoncé                       	     4	   61.50	   58.00	   67.00
Future                        	     4	   63.00	   51.00	   85.00
Drake                         	     3	   62.33	   61.00	   63.00
G-Eazy                        	     3	   60.00	   55.00	   63.00
Avant                         	     2	   59.00	   54.00	   64.00
Eminem                        	     2	   60.50	   58.00	   63.00
flor                          	     2	   50.00	   49.00	   51.00
Nao                           	     2	   54.00	   50.00	   58.00
Pitbull                       	     2	   63.00	   50.00	   76.00
Radiohead                     	     2	   52.50	   46.00	   59.00
Sade                          	     2	   47.50	   46.00	   49.00
Smallpools                    	     2	   57.00	   54.00	   60.00
ZAYN                          	     2	   77.50	   77.00	   78.00
11:11                         	     1	   52.00	   52.00	   52.00
112                           	     1	   63.00	   63.00	   63.00
2Pac                          	     1	   67.00	   67.00	   67.00
36                            	     1	   48.00	   48.00	   48.00
Aer                           	     1	   41.00	   41.00	   41.00
Ambrosia                      	     1	   64.00	   64.00	   64.00
Atmosphere                    	     1	   43.00	   43.00	   43.00
Avicii                        	     1	   54.00	   54.00	   54.00
BADBADNOTGOOD                 	     1	   58.00	   58.00	   58.00
Badfinger                     	     1	   50.00	   50.00	   50.00
Bazanji                       	     1	   68.00	   68.00	   68.00
Bearings                      	     1	   44.00	   44.00	   44.00
Beck                          	     1	   51.00	   51.00	   51.00
Blackstreet                   	     1	   50.00	   50.00	   50.00
blink-182                     	     1	   60.00	   60.00	   60.00
Blur                          	     1	   62.00	   62.00	   62.00
Bobaflex                      	     1	   62.00	   62.00	   62.00
Brandy                        	     1	   51.00	   51.00	   51.00
BROCKHAMPTON                  	     1	   53.00	   53.00	   53.00
Broods                        	     1	   57.00	   57.00	   57.00
BTS                           	     1	   65.00	   65.00	   65.00
Cauty                         	     1	   46.00	   46.00	   46.00
Chingy                        	     1	   70.00	   70.00	   70.00
Chon                          	     1	   53.00	   53.00	   53.00
Ciara                         	     1	   57.00	   57.00	   57.00
COIN                          	     1	   57.00	   57.00	   57.00
Colde                         	     1	   45.00	   45.00	   45.00
Common                        	     1	   53.00	   53.00	   53.00
Cracker                       	     1	   53.00	   53.00	   53.00
Crossfade                     	     1	   42.00	   42.00	   42.00
Crowder                       	     1	   47.00	   47.00	   47.00
Crush                         	     1	   57.00	   57.00	   57.00
Curren$y                      	     1	   51.00	   51.00	   51.00
Darlingside                   	     1	   66.00	   66.00	   66.00
Dharmasoul                    	     1	   40.00	   40.00	   40.00
digitalluc                    	     1	   54.00	   54.00	   54.00
Disturbed                     	     1	   54.00	   54.00	   54.00
Dounia                        	     1	   42.00	   42.00	   42.00
DROELOE                       	     1	   41.00	   41.00	   41.00
Elephante                     	     1	   62.00	   62.00	   62.00
EPMD                          	     1	   50.00	   50.00	   50.00
EXES                          	     1	   62.00	   62.00	   62.00
Fergie                        	     1	   59.00	   59.00	   59.00
Fink                          	     1	   47.00	   47.00	   47.00
Flitz&Suppe                   	     1	   59.00	   59.00	   59.00
Foxygen                       	     1	   47.00	   47.00	   47.00
Fugazi                        	     1	   61.00	   61.00	   61.00
GNAR                          	     1	   51.00	   51.00	   51.00
GoldLink                      	     1	   52.00	   52.00	   52.00
Grizfolk                      	     1	   46.00	   46.00	   46.00
H.E.R.                        	     1	   61.00	   61.00	   61.00
HUNNY                         	     1	   51.00	   51.00	   51.00
Ilegales                      	     1	   46.00	   46.00	   46.00
Iration                       	     1	   49.00	   49.00	   49.00
Jacquees                      	     1	   54.00	   54.00	   54.00
Jeebanoff                     	     1	   50.00	   50.00	   50.00
JEN                           	     1	   41.00	   41.00	   41.00
JID                           	     1	   63.00	   63.00	   63.00
Junip                         	     1	   44.00	   44.00	   44.00
Justice                       	     1	   43.00	   43.00	   43.00
k?d                           	     1	   43.00	   43.00	   43.00
Korn                          	     1	   51.00	   51.00	   51.00
Låpsley                       	     1	   56.00	   56.00	   56.00
Leeland                       	     1	   55.00	   55.00	   55.00
Lemaitre                      	     1	   61.00	   61.00	   61.00
Lloyd                         	     1	   44.00	   44.00	   44.00
MadeinTYO                     	     1	   60.00	   60.00	   60.00
Majik                         	     1	   43.00	   43.00	   43.00
Mandisa                       	     1	   49.00	   49.00	   49.00
MARINA                        	     1	   55.00	   55.00	   55.00
