artist	track_count	mean_popularity	median_popularity	std_popularity	min_popularity	max_popularity
Drake	22	60.36	63.0	7.66	47	70
Chris Brown	19	60.58	61.0	19.09	21	85
Brent Faiyaz	15	57.87	58.0	6.33	43	62
G-Eazy	15	58.73	62.0	4.2	54	63
Rainbow Kitten Surprise	15	61.0	59.0	2.93	59	65
Frank Ocean	14	74.0	74.0	1.04	73	75
Future	14	66.43	62.5	12.28	51	85
Beyoncé	12	61.5	60.5	3.5	58	67
Dan Auerbach	10	50.0	48.0	5.42	44	56
The Avett Brothers	10	48.5	48.5	0.53	48	49
Nao	10	54.0	54.0	4.22	50	58
Kimbo Children's Music	10	6.6	0.5	14.21	0	43
Meek Mill	9	56.56	61.0	8.99	43	65
Mariah Carey	9	62.89	66.0	5.18	57	68
The Doobie Brothers	9	56.22	61.0	7.03	49	66
Little Mix	9	41.67	34.0	13.29	32	62
The Weeknd	9	59.33	62.0	5.57	52	64
Young the Giant	9	57.22	59.0	2.11	55	59
Kendrick Lamar	9	64.44	64.0	7.65	57	74
Lil Wayne	9	69.67	70.0	4.77	64	75
Death Cab for Cutie	8	61.0	61.0	1.07	60	62
System Of A Down	8	53.75	55.5	7.19	44	60
Daddy Yankee	8	73.25	69.0	23.26	41	98
Noname	8	25.5	0.0	35.19	0	68
Earl Sweatshirt	8	51.0	51.0	4.28	47	55
Thousand Foot Krutch	8	63.5	63.5	4.81	59	68
Eminem	8	61.25	62.0	2.05	58	63
Britney Spears	8	66.0	66.0	4.28	62	70
Howard Shore	8	32.0	32.0	6.46	24	40
Ne-Yo	8	60.0	60.0	1.07	59	61
Sturgill Simpson	8	53.0	53.0	2.14	51	55
Rage Against The Machine	8	58.75	67.0	11.39	45	67
Sade	8	56.25	56.0	9.54	46	67
Ryuichi Sakamoto	8	27.0	27.0	2.14	25	29
Talking Heads	7	52.86	55.0	2.67	50	55
Surfaces	7	53.86	53.0	9.42	43	66
Waka Flocka Flame	7	57.43	52.0	8.06	50	66
Nick Jonas	7	52.71	61.0	10.42	39	61
LCD Soundsystem	7	43.86	43.0	1.57	43	47
Jill Scott	7	48.43	49.0	7.09	33	53
SiR	7	54.71	53.0	4.54	53	65
Atmosphere	7	18.43	0.0	22.98	0	43
Florence + The Machine	7	51.29	56.0	5.88	45	56
Jóhann Jóhannsson	6	32.33	32.0	0.52	32	33
The Shins	6	71.0	71.0	0.0	71	71
Theory of a Deadman	6	52.67	56.0	5.16	46	56
Slightly Stoopid	6	42.5	36.0	17.93	27	71
Blur	6	62.0	62.0	0.0	62	62
Etta James	6	43.5	47.0	12.65	18	51
Pitbull	6	66.5	76.0	14.8	45	76
Linkin Park	6	60.5	62.5	8.5	51	68
Philip Glass	6	38.0	38.0	0.0	38	38
Florida Georgia Line	6	47.0	47.0	28.48	21	73
Halsey	6	45.0	45.0	1.1	44	46
A Tribe Called Quest	6	58.0	58.0	0.0	58	58
Nobuo Uematsu	6	33.83	33.0	12.86	18	50
Kelly Clarkson	6	61.33	67.0	8.78	50	67
Papa Roach	6	67.83	70.0	5.31	57	70
Taylor Swift	6	49.0	55.0	11.7	34	58
Nina Simone	6	43.0	43.0	0.0	43	43
Jaden Smith	6	35.5	35.5	3.83	32	39
Of Monsters and Men	6	50.0	50.0	4.38	46	54
Janelle Monáe	6	57.0	57.0	0.0	57	57
Chris Young	5	61.0	60.0	11.47	43	71
Kid Ink	5	65.0	65.0	0.0	65	65
Children Songs Company	5	16.8	0.0	23.87	0	51
Timeflies	5	46.8	58.0	15.34	30	58
Don Omar	5	47.8	53.0	20.71	26	67
Mac Ayres	5	52.2	49.0	7.16	49	65
TobyMac	5	58.8	62.0	7.16	46	62
Tori Kelly	5	55.0	55.0	0.0	55	55
Justin Timberlake	5	64.2	75.0	14.79	48	75
Ciara	5	57.0	57.0	0.0	57	57
Trey Songz	5	49.0	49.0	0.0	49	49
Kari Jobe	5	54.2	60.0	12.97	31	60
Cultura Profética	5	61.0	65.0	5.48	55	65
Electric Guest	5	46.0	46.0	0.0	46	46
Quinn XCII	5	54.6	67.0	16.98	36	67
Radiohead	5	56.4	59.0	5.81	46	59
PnB Rock	5	68.8	72.0	4.38	64	72
Erykah Badu	5	56.4	61.0	10.29	38	61
flor	5	50.2	51.0	1.1	49	51
RKCB	5	53.0	53.0	0.0	53	53
Beastie Boys	5	66.0	66.0	0.0	66	66
What So Not	5	39.0	29.0	24.16	18	65
Ravyn Lenae	5	60.0	60.0	0.0	60	60
Sinbad	5	31.0	24.0	24.69	11	73
Nickelback	5	61.4	66.0	10.29	43	66
The Lumineers	5	65.2	71.0	12.97	42	71
GoldLink	5	52.0	52.0	0.0	52	52
Wisin & Yandel	5	45.8	39.0	15.96	32	63
The Neighbourhood	5	44.6	43.0	2.19	43	47
BADBADNOTGOOD	5	53.0	58.0	6.93	44	58
Imagine Dragons	5	36.2	47.0	26.37	0	64
Yuki Hayashi	5	38.2	24.0	23.84	15	64
