artist	count	mean	median
Drake	22	60.36	63.0
Chris Brown	19	60.58	61.0
Brent Faiyaz	15	57.87	58.0
G-Eazy	15	58.73	62.0
Rainbow Kitten Surprise	15	61.0	59.0
Frank Ocean	14	74.0	74.0
Future	14	66.43	62.5
Beyoncé	12	61.5	60.5
Dan Auerbach	10	50.0	48.0
The Avett Brothers	10	48.5	48.5
Nao	10	54.0	54.0
Kimbo Children's Music	10	6.6	0.5
Meek Mill	9	56.56	61.0
Mariah Carey	9	62.89	66.0
The Doobie Brothers	9	56.22	61.0
Little Mix	9	41.67	34.0
The Weeknd	9	59.33	62.0
Young the Giant	9	57.22	59.0
Kendrick Lamar	9	64.44	64.0
Lil Wayne	9	69.67	70.0
Death Cab for Cutie	8	61.0	61.0
System Of A Down	8	53.75	55.5
Daddy Yankee	8	73.25	69.0
Noname	8	25.5	0.0
Earl Sweatshirt	8	51.0	51.0
Thousand Foot Krutch	8	63.5	63.5
Eminem	8	61.25	62.0
Britney Spears	8	66.0	66.0
Howard Shore	8	32.0	32.0
Ne-Yo	8	60.0	60.0
Sturgill Simpson	8	53.0	53.0
Rage Against The Machine	8	58.75	67.0
Sade	8	56.25	56.0
Ryuichi Sakamoto	8	27.0	27.0
Talking Heads	7	52.86	55.0
Surfaces	7	53.86	53.0
Waka Flocka Flame	7	57.43	52.0
Nick Jonas	7	52.71	61.0
LCD Soundsystem	7	43.86	43.0
Jill Scott	7	48.43	49.0
SiR	7	54.71	53.0
Atmosphere	7	18.43	0.0
Florence + The Machine	7	51.29	56.0
Jóhann Jóhannsson	6	32.33	32.0
The Shins	6	71.0	71.0
Theory of a Deadman	6	52.67	56.0
Slightly Stoopid	6	42.5	36.0
Blur	6	62.0	62.0
Etta James	6	43.5	47.0
Pitbull	6	66.5	76.0
Linkin Park	6	60.5	62.5
Philip Glass	6	38.0	38.0
Florida Georgia Line	6	47.0	47.0
Halsey	6	45.0	45.0
A Tribe Called Quest	6	58.0	58.0
Nobuo Uematsu	6	33.83	33.0
Kelly Clarkson	6	61.33	67.0
Papa Roach	6	67.83	70.0
Taylor Swift	6	49.0	55.0
Nina Simone	6	43.0	43.0
Jaden Smith	6	35.5	35.5
Of Monsters and Men	6	50.0	50.0
Janelle Monáe	6	57.0	57.0
Chris Young	5	61.0	60.0
Kid Ink	5	65.0	65.0
Children Songs Company	5	16.8	0.0
Timeflies	5	46.8	58.0
Don Omar	5	47.8	53.0
Mac Ayres	5	52.2	49.0
TobyMac	5	58.8	62.0
Tori Kelly	5	55.0	55.0
Justin Timberlake	5	64.2	75.0
Ciara	5	57.0	57.0
Trey Songz	5	49.0	49.0
Kari Jobe	5	54.2	60.0
Cultura Profética	5	61.0	65.0
Electric Guest	5	46.0	46.0
