Henri Salvador	C'est beau de faire un Show
Martin & les fées	Perdu d'avance (par Gad Elmaleh)
Joseph Williams	Don't Let Me Be Lonely Tonight
Henri Salvador	Dis-moi Monsieur Gordon Cooper
Fabien Nataf	Ouverture
Henri Salvador	Le petit souper aux chandelles
Laura Mayne	Let Me Let Go
Chorus	Helka
Le Club des Juniors	Les bisous des bisounours
Leopold Stokowski	Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato
Randy Newman	The Hanging (Maverick - Original Motion Picture Score) - Remastered
Idoles De La Musique	J'ai demandé à la lune
Chorus	Mangala Aarti
Richard M. Sherman	Keys of Love
Michel Roux	Les aventures d'Arsène Lupin: 813 - Partie 6
Jean Claude Corbel	Diane
Bernard Minet	Ultra Man 80
Henri Salvador	Veunise
Amalya	Ladies And Gentlemen
Dorothée	Clic clac cloc
Henri Salvador	Monsieur Boum Boum
Jean Claude Corbel	Pourquoi aller plus loin ?
Henri Salvador	Quand je monte chez toi
Jean Piat	Comme minuit sonnait
Henri Salvador	Le Fêtard
Lucie Dolene	Le mariage des poupées
Henri Salvador	Une chanson douce
Chorus	Mangani – Do Banjare / Amba Heth
Chorus	A ty się śmiejesz ze mnie
Martin & les fées	Une journée d'école qui s'achève (par Véronique Jannot)
Henri Salvador	C Est Le Be Bop
Henri Salvador	La Samba De Là-Bas
Chorus	Ambarsare Diyan Warhiyan
Henri Salvador	Silence on tourne
Chorus	For the Game
Henri Salvador	Quand un artiste - live
Richard M. Sherman	Afterglow
Chorus	Tehni Pe Kisi Shajar
Henri Salvador	La Vie grise
Patrick Rocca	To Be or Not to Be
Ken Page	Dancing with Gene
Ken Page	Penn Station - Seesaw
Bernard Minet	Dragon Ball GT
Debbie Davis	I'll Feel Much Better When You Cry
Henri Salvador	La samba de là-bas (De l'opérette "Le Chevalier Bayard")
Dorothée	J'ai retrouvé ma valise
Claire Guyot	Le silence
Chantal Goya	Animauxville (Départ) - Live
Henri Salvador	Sketch producteur (suite)
Lucie Dolene	Sphinx
Jean Piat	L'Âne chargé d'éponges et l'Âne chargé de sel
Justin Hurwitz	Rialto - From "La La Land" Score
Chorus	Stous athanatous nekrous (To Immortal Deads)
Henri Salvador	Bon Dieu qu'elle est con - live
Randy Newman	Jack To The Rescue - Meet The Parents/Soundtrack
Chorus	Shree Ram Chant
Marie Ruggieri	Oh quel chien/Il se traîne - From "Lady and the Tramp"/French Soundtrack Version
Chorus	Mangal Aarti
Henri Salvador	Malgré tes serments
Henri Salvador	Audustin ! Y'a quelqu'un qui te demande
Chorus	Nadipinche Naa Naayaka
Karine Costa	Super Insomniaque
Henri Salvador	Papa loves mambo
Chorus	Om Jayanti Mangla
Dorothée	J'ai vidé ma valise
Chorus	Takhti Par Takhti
Fabien Nataf	I Try
Pascal Laffarge	Il pleut bergère
Frank Churchill	Snow White: Taas paiva kaunein on (Some Day My Prince Will Come)
Chorus	Baaramma - Bit
Jean Claude Corbel	Le Vilain Petit Canard 2
Jean Claude Corbel	Les poissons voyageurs
Dominique Tirmont	La Toulousaine
Henri Salvador	Monsieur Le Bon Dieu
Jean Claude Corbel	Le voyage à Lilliput
Jean Claude Corbel	Le Chat Botté 4
Chorus	Tsamikos Horos (Tsamikos Dance)
Chorus	Lalitha Parameshwari
Jean Claude Corbel	Le Petit Poucet 2
Dominique Tirmont	La petite diligence
Debbie Davis	Rap-a-Cito
Chorus	Thandeye Oh
Chorus	Banga Aamar
Bernard Minet	Dis-moi monsieur Bernard Minet
Chorus	Sai Parameshwar Sai Karuneshwar
Chorus	Shanthi Koru
Chorus	Aa Divyanaama
Martin & les fées	Le plus beau de tes rêves (par Anggun)
Henri Salvador	Chanson surrealiste
Henri Salvador	Grosse Fille Ne Pleure Pas - Remastered
Claire Guyot	Assise au bord du monde
Chorus	Koti Chennaya(Vol.1 &amp; 2)
Richard M. Sherman	Forgotten Dreams
Chorus	High (feat. Syross & Messieh)
Chorus	Kaisi Anokhi Mehfil
Henri Salvador	24 heures par jour
Choeurs	Georges Bizet : Sur la place
Chorus	Daivapithave
Chorus	Ven a una nave espacial
Henri Salvador	Bon appétit mademoiselle
Chorus	Shri Gayatri Mahamantra
Larry Groce	Choices
Leopold Stokowski	Symphony No.1 In C Major : IV. Allegro Vivace
Debbie Davis	You Know I'm No Good
Chorus	Czy Pamiętasz
Les Hérissons	Mabrouka Ananas ma Nana
Henri Salvador	Cherche la rose
Chorus	I Denne Søte Juletid: Kom La Oss Gå Og Se!
Michel Roux	Les aventures d'Arsène Lupin: 813 - Partie 5
Debbie Davis	Mele Kalikimaka
Chorus	Swami Samartha Majhe Aai
Randy Newman	This Is Gonna Be Good
Idoles De La Musique	Marie
Jean Claude Corbel	Tom Pouce 1
Jean Claude Corbel	Les premiers mammifères
Bernard Minet	Juliette je t'aime - Générique
Henri Salvador	Il Pleut Bergère - Remastered
Jean Claude Corbel	Aladin 1
Larry Morey	The Silly Song (The Dwarfs' Yodel Song)
Henri Salvador	Mazurka Pour Ma Mie
Houcine	Je m'accroche
Frank Churchill	Chorale for Snow White - From "Snow White and the Seven Dwarfs"/Score
Chorus	Titlee Pyari Titlee
Randy Newman	The Pros Go To College
Lucie Dolene	Sept variations sur "La Seine"
Randy Newman	A New Day: 7:00 A.M.
China Moses	Nicotine
Mary J. Blige	Be Without You - Kendu Mix
Rihanna	Desperado
Yung Bleu	Ice On My Baby (feat. Kevin Gates) - Remix
Surfaces	Heaven Falls / Fall on Me
Olivia O'Brien	Love Myself
ELHAE	Needs
Nao	Make It Out Alive (feat. SiR)
Frank Ocean	Seigfried
Layton Greene	Roll In Peace
Usher	You Make Me Wanna...
Mariah Carey	Hero
Beyoncé	Flawless Remix
Jason Derulo	Tip Toe (feat. French Montana)
TWENTY88	On The Way
Big Sean	I Know
Christina Aguilera	Lady Marmalade - From "Moulin Rouge" Soundtrack
Tierra Whack	CLONES
Jessie Reyez	Body Count (feat. Normani & Kehlani) - Remix
6LACK	Disconnect
SZA	Childs Play (feat. Chance the Rapper)
Kyle Dion	Brown
Roy Woods	Get You Good
Tove Lo	Habits (Stay High)
James Blake	Can't Believe The Way We Flow
Joji	SLOW DANCING IN THE DARK - Loud Luxury Remix
Jennifer Lopez	Dinero
Rihanna	Hate That I Love You
Miguel	Remember Me (Dúo)
TLC	Creep
PARTYNEXTDOOR	Wus Good / Curious
MIKExANGEL	Complicated
Nick Jonas	Introducing Me - From "Camp Rock 2: The Final Jam"
Tory Lanez	S.w.I.n.G (feat. PnB Rock & Trey Songz)
Chris Brown	Privacy
Alina Baraz	Lavender and Velvet
Dreezy	Body
T-Pain	Here It Comes (feat. Russ)
PJ Morton	Say So (feat. JoJo)
Tom Misch	Movie
Usher	OMG (feat. will.i.am)
Jeremih	All The Time
Dijon	Skin
Yuna	Crush
Keri Hilson	Pretty Girl Rock
Steve Lacy	Some
The Japanese House	Saw You In A Dream
T-Pain	A Million Times (feat. O.T. Genasis)
Tory Lanez	KeeP IN tOUcH (feat. Bryson Tiller)
The Weeknd	Attention
H.E.R.	2
T-Pain	RIP to the Parking Lot (feat. Boosie Badazz)
City Girls	Season (feat. Lil Baby)
Brent Faiyaz	Lovely
Jacquees	Inside feat. Trey Songz
JP Saxe	The Few Things (with Charlotte Lawrence)
Chingy	Right Thurr
H.E.R.	I'm Not OK
Wale	Lotus Flower Bomb (feat. Miguel)
Kiana Ledé	Wicked Games
Iggy Azalea	Black Widow
Kelly Clarkson	Love So Soft
PARTYNEXTDOOR	Not Nice
Tory Lanez	Pa Mi (with Ozuna)
The Weeknd	A Lonely Night
Nina Sky	Move Ya Body
Fifth Harmony	All In My Head (Flex) (feat. Fetty Wap)
Rihanna	SOS
Jason Derulo	Ridin' Solo
DJ Khaled	All I Do Is Win
Demi Lovato	You Don't Do It For Me Anymore
Nao	If You Ever (feat. 6LACK)
Adrian Marcel	2AM.
Mario	How Do I Breathe
Jagged Edge	Where the Party At
T-Pain	1UP (feat. Profit Dinero)
Ari Lennox	40 Shades of Choke
Big Sean	Go Legend (& Metro Boomin)
bLAck pARty	Bloom
Olivia O'Brien	Love Myself - Acoustic
GoldLink	Got Friends
Raveena	If Only
Trevor Daniel	Falling (blackbear Remix)
T-Pain	Be Your X
Tinashe	Like I Used To
Peter CottonTale	Forever Always
DaniLeigh	Lil Bebe
Ty Dolla $ign	Paranoid (feat. B.o.B)
James Blake	Are You In Love?
Dreezy	Ecstasy (feat. Jeremih)
Snoh Aalegra	I Want You Around
Zara Larsson	Ain't My Fault
Beyoncé	Countdown
Jarreau Vandal	Someone That You Love
Alina Baraz	Unfold
The Carters	NICE
Trey Songz	Neighbors Know My Name
T-Pain	U Up
BJ The Chicago Kid	Roses
SZA	Prom
James Blake	Power On
Sabrina Claudio	Orion's Belt
H.E.R.	Say It Again
T-Pain	All I Want (feat. Flipp Dinero)
Daniel Caesar	Violet
The Weeknd	Nothing Without You
Orion Sun	Antidote
John Legend	Love Me Now
Beyoncé	Dance for You
Demi Lovato	Give Your Heart a Break
Labrinth	Beneath Your Beautiful
Yo Trane	High off You
Twista	Overnight Celebrity
Fifth Harmony	That's My Girl
Ravyn Lenae	Sticky
Mario	Just a Friend 2002 - Radio Edit
Monica	So Gone
Ne-Yo	Sexy Love
Mariah Carey	Caution
Mario	Drowning
